index,Month and Year,State,Civilian Population,Total Labor Force,Percent of Population,Employed - Total,Employed - Percent of Population,Unemployed - Total,Unemployed - Percent of Labor Force
12925,February 1997,Michigan,7390180,4925057,66.6,4699936,63.6,225121,4.6
12926,February 1997,Minnesota,3569915,2663711,74.6,2569931,72.0,93780,3.5
12927,February 1997,Mississippi,2038763,1269787,62.3,1195876,58.7,73911,5.8
12928,February 1997,Missouri,4118014,2922991,71.0,2788926,67.7,134065,4.6
12929,February 1997,Montana,672099,450239,67.0,426805,63.5,23434,5.2
12930,February 1997,Nebraska,1253963,918584,73.3,894704,71.4,23880,2.6
12931,February 1997,Nevada,1329603,925608,69.6,883736,66.5,41872,4.5
12932,February 1997,New Hampshire,903232,643714,71.3,620873,68.7,22841,3.5
12933,February 1997,New Jersey,6282328,4264045,67.9,4022538,64.0,241507,5.7
12934,February 1997,New Mexico,1293252,817538,63.2,762192,58.9,55346,6.8
12935,February 1997,New York,14270956,8933963,62.6,8348269,58.5,585694,6.6
12936,February 1997,North Carolina,5790889,3973048,68.6,3818857,65.9,154191,3.9
12937,February 1997,North Dakota,485191,351296,72.4,341331,70.3,9965,2.8
12938,February 1997,Ohio,8539927,5680985,66.5,5393991,63.2,286994,5.1
12939,February 1997,Oklahoma,2499236,1600324,64.0,1533753,61.4,66571,4.2
12940,February 1997,Oregon,2529263,1735434,68.6,1632039,64.5,103395,6.0
12941,February 1997,Pennsylvania,9418461,6038826,64.1,5719061,60.7,319765,5.3
12942,February 1997,Rhode Island,791990,523086,66.0,495604,62.6,27482,5.3
12943,February 1997,South Carolina,2880105,1912019,66.4,1807847,62.8,104172,5.4
12944,February 1997,South Dakota,547640,391419,71.5,379588,69.3,11831,3.0
12945,February 1997,Tennessee,4195177,2781821,66.3,2626027,62.6,155794,5.6
12946,February 1997,Texas,14246716,9854163,69.2,9297416,65.3,556747,5.6
12947,February 1997,Utah,1477564,1059147,71.7,1025057,69.4,34090,3.2
12948,February 1997,Vermont,457096,325067,71.1,311648,68.2,13419,4.1
12949,February 1997,Virginia,5093978,3435804,67.4,3283191,64.5,152613,4.4
12950,February 1997,Washington,4242915,2938576,69.3,2783521,65.6,155055,5.3
12951,February 1997,West Virginia,1437378,798191,55.5,740456,51.5,57735,7.2
12952,February 1997,Wisconsin,3976172,2948753,74.2,2840261,71.4,108492,3.7
12953,February 1997,Wyoming,364847,254010,69.6,241255,66.1,12755,5.0
12954,March 1997,Alabama,3302781,2124300,64.3,2014913,61.0,109387,5.1
12955,March 1997,Alaska,423250,312474,73.8,289200,68.3,23274,7.4
12956,March 1997,Arizona,3551190,2294630,64.6,2182466,61.5,112164,4.9
12957,March 1997,Arkansas,1956824,1244493,63.6,1179482,60.3,65011,5.2
12958,March 1997,California,23703963,15675166,66.1,14635058,61.7,1040108,6.6
12959,March 1997,Colorado,3022043,2184274,72.3,2105744,69.7,78530,3.6
12960,March 1997,Connecticut,2564288,1756950,68.5,1659255,64.7,97695,5.6
12961,March 1997,Delaware,570618,387488,67.9,370729,65.0,16759,4.3
12962,March 1997,District of Columbia,450808,282074,62.6,260622,57.8,21452,7.6
12963,March 1997,Florida,11748904,7306706,62.2,6942087,59.1,364619,5.0
12964,March 1997,Georgia,5687946,3926763,69.0,3735508,65.7,191255,4.9
12965,March 1997,Hawaii,885411,600793,67.9,563215,63.6,37578,6.3
12966,March 1997,Idaho,893011,630862,70.6,598077,67.0,32785,5.2
12967,March 1997,Illinois,9142656,6284193,68.7,5975503,65.4,308690,4.9
12968,March 1997,Indiana,4501363,3108972,69.1,3002840,66.7,106132,3.4
12969,March 1997,Iowa,2200545,1608531,73.1,1555415,70.7,53116,3.3
12970,March 1997,Kansas,1952028,1373921,70.4,1319471,67.6,54450,4.0
12971,March 1997,Kentucky,2999331,1911130,63.7,1801001,60.0,110129,5.8
12972,March 1997,Louisiana,3236853,2010501,62.1,1885274,58.2,125227,6.2
12973,March 1997,Maine,967984,659581,68.1,625293,64.6,34288,5.2
12974,March 1997,Maryland,3880746,2764150,71.2,2625090,67.6,139060,5.0
12975,March 1997,Massachusetts,4808136,3291413,68.5,3156131,65.6,135282,4.1
12976,March 1997,Michigan,7391880,4929012,66.7,4709700,63.7,219312,4.4
12977,March 1997,Minnesota,3572600,2665342,74.6,2573419,72.0,91923,3.4
12978,March 1997,Mississippi,2040864,1270100,62.2,1197426,58.7,72674,5.7
12979,March 1997,Missouri,4120595,2921303,70.9,2792583,67.8,128720,4.4
12980,March 1997,Montana,672065,450499,67.0,426740,63.5,23759,5.3
12981,March 1997,Nebraska,1254207,919069,73.3,895502,71.4,23567,2.6
12982,March 1997,Nevada,1334528,929129,69.6,887726,66.5,41403,4.5
12983,March 1997,New Hampshire,904328,644985,71.3,622264,68.8,22721,3.5
12984,March 1997,New Jersey,6285506,4264848,67.9,4030314,64.1,234534,5.5
12985,March 1997,New Mexico,1294464,818163,63.2,763721,59.0,54442,6.7
12986,March 1997,New York,14273037,8958859,62.8,8368885,58.6,589974,6.6
12987,March 1997,North Carolina,5798376,3979937,68.6,3827785,66.0,152152,3.8
12988,March 1997,North Dakota,485263,351628,72.5,341501,70.4,10127,2.9
12989,March 1997,Ohio,8539856,5683049,66.5,5403191,63.3,279858,4.9
12990,March 1997,Oklahoma,2501425,1602724,64.1,1536283,61.4,66441,4.1
12991,March 1997,Oregon,2532533,1737199,68.6,1635118,64.6,102081,5.9
12992,March 1997,Pennsylvania,9417071,6044049,64.2,5723357,60.8,320692,5.3
12993,March 1997,Rhode Island,792479,524164,66.1,496733,62.7,27431,5.2
12994,March 1997,South Carolina,2883083,1911483,66.3,1811277,62.8,100206,5.2
12995,March 1997,South Dakota,547728,391842,71.5,380141,69.4,11701,3.0
12996,March 1997,Tennessee,4199772,2781017,66.2,2627624,62.6,153393,5.5
12997,March 1997,Texas,14267318,9871623,69.2,9319393,65.3,552230,5.6
12998,March 1997,Utah,1481013,1061777,71.7,1028232,69.4,33545,3.2
12999,March 1997,Vermont,457120,325416,71.2,312086,68.3,13330,4.1
13000,March 1997,Virginia,5099105,3439301,67.4,3289122,64.5,150179,4.4
13001,March 1997,Washington,4249159,2949121,69.4,2796856,65.8,152265,5.2
13002,March 1997,West Virginia,1437254,797331,55.5,740836,51.5,56495,7.1
13003,March 1997,Wisconsin,3978627,2952383,74.2,2843528,71.5,108855,3.7
13004,March 1997,Wyoming,364869,253773,69.6,241117,66.1,12656,5.0
13005,April 1997,Alabama,3303583,2127790,64.4,2019197,61.1,108593,5.1
13006,April 1997,Alaska,423241,312777,73.9,289711,68.5,23066,7.4
13007,April 1997,Arizona,3560974,2295727,64.5,2187407,61.4,108320,4.7
13008,April 1997,Arkansas,1958236,1244777,63.6,1179872,60.3,64905,5.2
13009,April 1997,California,23735055,15707982,66.2,14684531,61.9,1023451,6.5
13010,April 1997,Colorado,3028020,2193734,72.4,2117069,69.9,76665,3.5
13011,April 1997,Connecticut,2564751,1757076,68.5,1661529,64.8,95547,5.4
13012,April 1997,Delaware,571694,386978,67.7,370844,64.9,16134,4.2
13013,April 1997,District of Columbia,451173,281340,62.4,259880,57.6,21460,7.6
13014,April 1997,Florida,11768259,7329934,62.3,6968355,59.2,361579,4.9
13015,April 1997,Georgia,5698957,3936876,69.1,3749483,65.8,187393,4.8
13016,April 1997,Hawaii,886542,600925,67.8,563314,63.5,37611,6.3
13017,April 1997,Idaho,895011,632040,70.6,599366,67.0,32674,5.2
13018,April 1997,Illinois,9145905,6287855,68.8,5986729,65.5,301126,4.8
13019,April 1997,Indiana,4502930,3115443,69.2,3008569,66.8,106874,3.4
13020,April 1997,Iowa,2200873,1607673,73.0,1555942,70.7,51731,3.2
13021,April 1997,Kansas,1953040,1375694,70.4,1322523,67.7,53171,3.9
13022,April 1997,Kentucky,3000381,1912940,63.8,1805827,60.2,107113,5.6
13023,April 1997,Louisiana,3238874,2013976,62.2,1888919,58.3,125057,6.2
13024,April 1997,Maine,968961,659035,68.0,624696,64.5,34339,5.2
13025,April 1997,Maryland,3882571,2765679,71.2,2627195,67.7,138484,5.0
13026,April 1997,Massachusetts,4811126,3298297,68.6,3164031,65.8,134266,4.1
13027,April 1997,Michigan,7393579,4934959,66.7,4721344,63.9,213615,4.3
13028,April 1997,Minnesota,3575285,2668227,74.6,2577907,72.1,90320,3.4
13029,April 1997,Mississippi,2041966,1270737,62.2,1198932,58.7,71805,5.7
13030,April 1997,Missouri,4124177,2921364,70.8,2797333,67.8,124031,4.2
13031,April 1997,Montana,672032,450895,67.1,426879,63.5,24016,5.3
13032,April 1997,Nebraska,1255451,919624,73.3,896342,71.4,23282,2.5
13033,April 1997,Nevada,1340454,932467,69.6,891405,66.5,41062,4.4
13034,April 1997,New Hampshire,905424,646439,71.4,623855,68.9,22584,3.5
13035,April 1997,New Jersey,6289685,4266430,67.8,4037673,64.2,228757,5.4
13036,April 1997,New Mexico,1295677,819252,63.2,765723,59.1,53529,6.5
13037,April 1997,New York,14275118,8986277,63.0,8394265,58.8,592012,6.6
13038,April 1997,North Carolina,5806863,3986585,68.7,3835700,66.1,150885,3.8
13039,April 1997,North Dakota,485335,351828,72.5,341570,70.4,10258,2.9
13040,April 1997,Ohio,8540785,5684780,66.6,5414520,63.4,270260,4.8
13041,April 1997,Oklahoma,2503614,1605364,64.1,1539051,61.5,66313,4.1
13042,April 1997,Oregon,2535804,1739713,68.6,1639208,64.6,100505,5.8
13043,April 1997,Pennsylvania,9415681,6049559,64.2,5728804,60.8,320755,5.3
13044,April 1997,Rhode Island,792967,525376,66.3,497993,62.8,27383,5.2
13045,April 1997,South Carolina,2887061,1911093,66.2,1814802,62.9,96291,5.0
13046,April 1997,South Dakota,547817,392498,71.6,380915,69.5,11583,3.0
13047,April 1997,Tennessee,4205367,2782739,66.2,2630973,62.6,151766,5.5
13048,April 1997,Texas,14288919,9890605,69.2,9345189,65.4,545416,5.5
13049,April 1997,Utah,1483461,1064392,71.8,1031264,69.5,33128,3.1
13050,April 1997,Vermont,457145,325933,71.3,312721,68.4,13212,4.1
13051,April 1997,Virginia,5103233,3444586,67.5,3297920,64.6,146666,4.3
13052,April 1997,Washington,4255402,2960879,69.6,2811015,66.1,149864,5.1
13053,April 1997,West Virginia,1436131,796690,55.5,741420,51.6,55270,6.9
13054,April 1997,Wisconsin,3980083,2957095,74.3,2848652,71.6,108443,3.7
13055,April 1997,Wyoming,364890,253654,69.5,241142,66.1,12512,4.9
13056,May 1997,Alabama,3305385,2132016,64.5,2023465,61.2,108551,5.1
13057,May 1997,Alaska,423233,313056,74.0,290215,68.6,22841,7.3
13058,May 1997,Arizona,3570757,2298135,64.4,2192966,61.4,105169,4.6
13059,May 1997,Arkansas,1960648,1244981,63.5,1179951,60.2,65030,5.2
13060,May 1997,California,23767146,15743525,66.2,14733392,62.0,1010133,6.4
13061,May 1997,Colorado,3033998,2203618,72.6,2128448,70.2,75170,3.4
13062,May 1997,Connecticut,2565214,1757058,68.5,1663866,64.9,93192,5.3
13063,May 1997,Delaware,572770,386735,67.5,371047,64.8,15688,4.1
13064,May 1997,District of Columbia,450539,281052,62.4,259399,57.6,21653,7.7
13065,May 1997,Florida,11788614,7353959,62.4,6995619,59.3,358340,4.9
13066,May 1997,Georgia,5709968,3946794,69.1,3763232,65.9,183562,4.7
13067,May 1997,Hawaii,887673,601226,67.7,563470,63.5,37756,6.3
13068,May 1997,Idaho,897011,633184,70.6,600568,67.0,32616,5.2
13069,May 1997,Illinois,9150154,6291638,68.8,5997048,65.5,294590,4.7
13070,May 1997,Indiana,4505497,3121884,69.3,3013603,66.9,108281,3.5
13071,May 1997,Iowa,2202201,1606213,72.9,1555740,70.6,50473,3.1
13072,May 1997,Kansas,1954052,1377933,70.5,1325860,67.9,52073,3.8
13073,May 1997,Kentucky,3001431,1915531,63.8,1810720,60.3,104811,5.5
13074,May 1997,Louisiana,3240895,2017640,62.3,1892896,58.4,124744,6.2
13075,May 1997,Maine,969938,658285,67.9,624254,64.4,34031,5.2
13076,May 1997,Maryland,3884396,2766699,71.2,2628923,67.7,137776,5.0
13077,May 1997,Massachusetts,4814116,3303928,68.6,3170810,65.9,133118,4.0
13078,May 1997,Michigan,7396279,4942295,66.8,4733004,64.0,209291,4.2
13079,May 1997,Minnesota,3578970,2672438,74.7,2583236,72.2,89202,3.3
13080,May 1997,Mississippi,2044068,1271678,62.2,1199944,58.7,71734,5.6
13081,May 1997,Missouri,4126758,2923165,70.8,2801579,67.9,121586,4.2
13082,May 1997,Montana,672998,451386,67.1,427212,63.5,24174,5.4
13083,May 1997,Nebraska,1256694,920256,73.2,897159,71.4,23097,2.5
13084,May 1997,Nevada,1346380,935714,69.5,894851,66.5,40863,4.4
13085,May 1997,New Hampshire,906519,647959,71.5,625591,69.0,22368,3.5
13086,May 1997,New Jersey,6293863,4268310,67.8,4043269,64.2,225041,5.3
13087,May 1997,New Mexico,1296889,820687,63.3,768053,59.2,52634,6.4
13088,May 1997,New York,14279199,9012356,63.1,8419436,59.0,592920,6.6
13089,May 1997,North Carolina,5815350,3991196,68.6,3840948,66.0,150248,3.8
13090,May 1997,North Dakota,485407,351869,72.5,341578,70.4,10291,2.9
13091,May 1997,Ohio,8541715,5686861,66.6,5425890,63.5,260971,4.6
13092,May 1997,Oklahoma,2505802,1607928,64.2,1541575,61.5,66353,4.1
13093,May 1997,Oregon,2539074,1743065,68.6,1643904,64.7,99161,5.7
13094,May 1997,Pennsylvania,9416291,6054931,64.3,5734924,60.9,320007,5.3
13095,May 1997,Rhode Island,793455,526711,66.4,499361,62.9,27350,5.2
13096,May 1997,South Carolina,2891039,1911059,66.1,1818371,62.9,92688,4.9
13097,May 1997,South Dakota,548906,393245,71.6,381737,69.5,11508,2.9
13098,May 1997,Tennessee,4210962,2786108,66.2,2634707,62.6,151401,5.4
13099,May 1997,Texas,14311520,9909452,69.2,9371279,65.5,538173,5.4
13100,May 1997,Utah,1486909,1066964,71.8,1034003,69.5,32961,3.1
13101,May 1997,Vermont,458169,326601,71.3,313538,68.4,13063,4.0
13102,May 1997,Virginia,5108361,3449329,67.5,3307182,64.7,142147,4.1
13103,May 1997,Washington,4262645,2972586,69.7,2824594,66.3,147992,5.0
13104,May 1997,West Virginia,1436007,796247,55.4,741989,51.7,54258,6.8
13105,May 1997,Wisconsin,3982538,2962434,74.4,2854757,71.7,107677,3.6
13106,May 1997,Wyoming,364912,253620,69.5,241284,66.1,12336,4.9
13107,June 1997,Alabama,3307188,2136263,64.6,2027419,61.3,108844,5.1
13108,June 1997,Alaska,423224,313294,74.0,290679,68.7,22615,7.2
13109,June 1997,Arizona,3581541,2301551,64.3,2198669,61.4,102882,4.5
13110,June 1997,Arkansas,1962060,1244657,63.4,1179429,60.1,65228,5.2
13111,June 1997,California,23800238,15778082,66.3,14778297,62.1,999785,6.3
13112,June 1997,Colorado,3039975,2213431,72.8,2139347,70.4,74084,3.3
13113,June 1997,Connecticut,2565677,1756399,68.5,1665824,64.9,90575,5.2
13114,June 1997,Delaware,572846,386686,67.5,371352,64.8,15334,4.0
13115,June 1997,District of Columbia,449904,281170,62.5,259168,57.6,22002,7.8
13116,June 1997,Florida,11808970,7374788,62.5,7020262,59.4,354526,4.8
13117,June 1997,Georgia,5720979,3955998,69.1,3776003,66.0,179995,4.5
13118,June 1997,Hawaii,888804,601580,67.7,563703,63.4,37877,6.3
13119,June 1997,Idaho,898011,634171,70.6,601584,67.0,32587,5.1
13120,June 1997,Illinois,9154402,6295146,68.8,6004697,65.6,290449,4.6
13121,June 1997,Indiana,4508065,3126957,69.4,3016917,66.9,110040,3.5
13122,June 1997,Iowa,2202529,1604068,72.8,1554651,70.6,49417,3.1
13123,June 1997,Kansas,1955063,1380300,70.6,1329096,68.0,51204,3.7
13124,June 1997,Kentucky,3002480,1918248,63.9,1815100,60.5,103148,5.4
13125,June 1997,Louisiana,3242916,2020819,62.3,1896882,58.5,123937,6.1
13126,June 1997,Maine,969915,657302,67.8,623857,64.3,33445,5.1
13127,June 1997,Maryland,3886221,2767100,71.2,2630057,67.7,137043,5.0
13128,June 1997,Massachusetts,4817106,3307949,68.7,3176212,65.9,131737,4.0
13129,June 1997,Michigan,7398979,4950023,66.9,4743300,64.1,206723,4.2
13130,June 1997,Minnesota,3582655,2677436,74.7,2589074,72.3,88362,3.3
13131,June 1997,Mississippi,2045170,1272747,62.2,1200423,58.7,72324,5.7
13132,June 1997,Missouri,4130340,2926115,70.8,2804521,67.9,121594,4.2
13133,June 1997,Montana,672964,451918,67.2,427673,63.6,24245,5.4
13134,June 1997,Nebraska,1256938,920904,73.3,897914,71.4,22990,2.5
13135,June 1997,Nevada,1351305,938889,69.5,898102,66.5,40787,4.3
13136,June 1997,New Hampshire,907615,649407,71.6,627363,69.1,22044,3.4
13137,June 1997,New Jersey,6298041,4269377,67.8,4046560,64.3,222817,5.2
13138,June 1997,New Mexico,1298101,822204,63.3,770466,59.4,51738,6.3
13139,June 1997,New York,14283279,9033067,63.2,8440764,59.1,592303,6.6
13140,June 1997,North Carolina,5824838,3992555,68.5,3843024,66.0,149531,3.7
13141,June 1997,North Dakota,485478,351750,72.5,341582,70.4,10168,2.9
13142,June 1997,Ohio,8543644,5689745,66.6,5435731,63.6,254014,4.5
13143,June 1997,Oklahoma,2507991,1610165,64.2,1543721,61.6,66444,4.1
13144,June 1997,Oregon,2542345,1747119,68.7,1648876,64.9,98243,5.6
13145,June 1997,Pennsylvania,9415902,6059396,64.4,5741451,61.0,317945,5.2
13146,June 1997,Rhode Island,793943,528058,66.5,500737,63.1,27321,5.2
13147,June 1997,South Carolina,2895017,1911124,66.0,1821943,62.9,89181,4.7
13148,June 1997,South Dakota,548995,393892,71.7,382411,69.7,11481,2.9
13149,June 1997,Tennessee,4216557,2789245,66.1,2637983,62.6,151262,5.4
13150,June 1997,Texas,14335122,9925891,69.2,9395133,65.5,530758,5.3
13151,June 1997,Utah,1489358,1069413,71.8,1036363,69.6,33050,3.1
13152,June 1997,Vermont,458193,327374,71.4,314492,68.6,12882,3.9
13153,June 1997,Virginia,5113488,3451876,67.5,3315314,64.8,136562,4.0
13154,June 1997,Washington,4268888,2983172,69.9,2836754,66.5,146418,4.9
13155,June 1997,West Virginia,1435884,795949,55.4,742415,51.7,53534,6.7
13156,June 1997,Wisconsin,3984994,2968036,74.5,2861245,71.8,106791,3.6
13157,June 1997,Wyoming,365933,253605,69.3,241465,66.0,12140,4.8
13158,July 1997,Alabama,3308990,2139910,64.7,2031063,61.4,108847,5.1
13159,July 1997,Alaska,423215,313475,74.1,291091,68.8,22384,7.1
13160,July 1997,Arizona,3591325,2305960,64.2,2204528,61.4,101432,4.4
13161,July 1997,Arkansas,1964471,1243704,63.3,1178391,60.0,65313,5.3
13162,July 1997,California,23834329,15810801,66.3,14819455,62.2,991346,6.3
13163,July 1997,Colorado,3045953,2223076,73.0,2149562,70.6,73514,3.3
13164,July 1997,Connecticut,2566140,1754926,68.4,1667311,65.0,87615,5.0
13165,July 1997,Delaware,573922,386764,67.4,371772,64.8,14992,3.9
13166,July 1997,District of Columbia,450270,281567,62.5,259129,57.5,22438,8.0
13167,July 1997,Florida,11830325,7391349,62.5,7041164,59.5,350185,4.7
13168,July 1997,Georgia,5732990,3964918,69.2,3788057,66.1,176861,4.5
13169,July 1997,Hawaii,888936,601792,67.7,563952,63.4,37840,6.3
13170,July 1997,Idaho,900011,634849,70.5,602329,66.9,32520,5.1
13171,July 1997,Illinois,9159651,6299557,68.8,6010198,65.6,289359,4.6
13172,July 1997,Indiana,4510632,3130112,69.4,3018450,66.9,111662,3.6
13173,July 1997,Iowa,2203857,1601675,72.7,1553012,70.5,48663,3.0
13174,July 1997,Kansas,1957075,1382574,70.6,1332004,68.1,50570,3.7
13175,July 1997,Kentucky,3003530,1920531,63.9,1818831,60.6,101700,5.3
13176,July 1997,Louisiana,3244938,2023601,62.4,1901115,58.6,122486,6.1
13177,July 1997,Maine,970892,656193,67.6,623436,64.2,32757,5.0
13178,July 1997,Maryland,3889045,2767296,71.2,2630857,67.6,136439,4.9
13179,July 1997,Massachusetts,4820096,3310952,68.7,3180910,66.0,130042,3.9
13180,July 1997,Michigan,7402679,4957807,67.0,4752198,64.2,205609,4.1
13181,July 1997,Minnesota,3586340,2682412,74.8,2595033,72.4,87379,3.3
13182,July 1997,Mississippi,2047272,1273822,62.2,1200698,58.6,73124,5.7
13183,July 1997,Missouri,4133921,2929603,70.9,2806503,67.9,123100,4.2
13184,July 1997,Montana,673930,452504,67.1,428248,63.5,24256,5.4
13185,July 1997,Nebraska,1258182,921559,73.2,898653,71.4,22906,2.5
13186,July 1997,Nevada,1357231,942001,69.4,901220,66.4,40781,4.3
13187,July 1997,New Hampshire,908711,650661,71.6,629021,69.2,21640,3.3
13188,July 1997,New Jersey,6302219,4268991,67.7,4048062,64.2,220929,5.2
13189,July 1997,New Mexico,1299313,823669,63.4,772766,59.5,50903,6.2
13190,July 1997,New York,14288360,9046902,63.3,8457735,59.2,589167,6.5
13191,July 1997,North Carolina,5833325,3991494,68.4,3843069,65.9,148425,3.7
13192,July 1997,North Dakota,485550,351530,72.4,341657,70.4,9873,2.8
13193,July 1997,Ohio,8545573,5694278,66.6,5443764,63.7,250514,4.4
13194,July 1997,Oklahoma,2510180,1612098,64.2,1545693,61.6,66405,4.1
13195,July 1997,Oregon,2545615,1751600,68.8,1653969,65.0,97631,5.6
13196,July 1997,Pennsylvania,9416512,6062910,64.4,5748703,61.0,314207,5.2
13197,July 1997,Rhode Island,793432,529274,66.7,501995,63.3,27279,5.2
13198,July 1997,South Carolina,2898995,1911037,65.9,1825560,63.0,85477,4.5
13199,July 1997,South Dakota,549084,394354,71.8,382885,69.7,11469,2.9
13200,July 1997,Tennessee,4222152,2791317,66.1,2640948,62.5,150369,5.4
13201,July 1997,Texas,14358723,9939510,69.2,9416480,65.6,523030,5.3
13202,July 1997,Utah,1492806,1071713,71.8,1038390,69.6,33323,3.1
13203,July 1997,Vermont,459218,328195,71.5,315507,68.7,12688,3.9
13204,July 1997,Virginia,5118616,3452464,67.4,3322216,64.9,130248,3.8
13205,July 1997,Washington,4276131,2992356,70.0,2847664,66.6,144692,4.8
13206,July 1997,West Virginia,1435760,795869,55.4,742706,51.7,53163,6.7
13207,July 1997,Wisconsin,3987449,2974002,74.6,2868093,71.9,105909,3.6
13208,July 1997,Wyoming,365955,253588,69.3,241640,66.0,11948,4.7
13209,August 1997,Alabama,3312792,2142358,64.7,2034281,61.4,108077,5.0
13210,August 1997,Alaska,424207,313610,73.9,291474,68.7,22136,7.1
13211,August 1997,Arizona,3600109,2311287,64.2,2210559,61.4,100728,4.4
13212,August 1997,Arkansas,1965883,1242413,63.2,1177158,59.9,65255,5.3
13213,August 1997,California,23876421,15842518,66.4,14858017,62.2,984501,6.2
13214,August 1997,Colorado,3051930,2232379,73.1,2158855,70.7,73524,3.3
13215,August 1997,Connecticut,2567603,1752684,68.3,1668386,65.0,84298,4.8
13216,August 1997,Delaware,573998,386952,67.4,372316,64.9,14636,3.8
13217,August 1997,District of Columbia,450636,282131,62.6,259223,57.5,22908,8.1
13218,August 1997,Florida,11851680,7404058,62.5,7058020,59.6,346038,4.7
13219,August 1997,Georgia,5744000,3974237,69.2,3799734,66.2,174503,4.4
13220,August 1997,Hawaii,890067,601745,67.6,564099,63.4,37646,6.3
13221,August 1997,Idaho,901012,635214,70.5,602773,66.9,32441,5.1
13222,August 1997,Illinois,9166900,6305490,68.8,6014181,65.6,291309,4.6
13223,August 1997,Indiana,4513200,3131417,69.4,3018608,66.9,112809,3.6
13224,August 1997,Iowa,2205185,1599568,72.5,1551366,70.4,48202,3.0
13225,August 1997,Kansas,1958087,1384738,70.7,1334562,68.2,50176,3.6
13226,August 1997,Kentucky,3007580,1921979,63.9,1821984,60.6,99995,5.2
13227,August 1997,Louisiana,3246959,2026302,62.4,1905702,58.7,120600,6.0
13228,August 1997,Maine,970869,655166,67.5,622906,64.2,32260,4.9
13229,August 1997,Maryland,3891870,2767856,71.1,2631669,67.6,136187,4.9
13230,August 1997,Massachusetts,4824086,3313558,68.7,3185527,66.0,128031,3.9
13231,August 1997,Michigan,7406378,4965717,67.0,4760203,64.3,205514,4.1
13232,August 1997,Minnesota,3590025,2686805,74.8,2600764,72.4,86041,3.2
13233,August 1997,Mississippi,2049374,1274809,62.2,1201128,58.6,73681,5.8
13234,August 1997,Missouri,4137503,2932760,70.9,2807624,67.9,125136,4.3
13235,August 1997,Montana,673897,453216,67.3,428954,63.7,24262,5.4
13236,August 1997,Nebraska,1259426,922210,73.2,899417,71.4,22793,2.5
13237,August 1997,Nevada,1363156,944991,69.3,904168,66.3,40823,4.3
13238,August 1997,New Hampshire,909806,651650,71.6,630463,69.3,21187,3.3
13239,August 1997,New Jersey,6308398,4267202,67.6,4048492,64.2,218710,5.1
13240,August 1997,New Mexico,1301526,825085,63.4,774826,59.5,50259,6.1
13241,August 1997,New York,14298441,9054149,63.3,8470816,59.2,583333,6.4
13242,August 1997,North Carolina,5843812,3989338,68.3,3842101,65.7,147237,3.7
13243,August 1997,North Dakota,485622,351301,72.3,341842,70.4,9459,2.7
13244,August 1997,Ohio,8549503,5700403,66.7,5449751,63.7,250652,4.4
13245,August 1997,Oklahoma,2512369,1613684,64.2,1547658,61.6,66026,4.1
13246,August 1997,Oregon,2549886,1756214,68.9,1658898,65.1,97316,5.5
13247,August 1997,Pennsylvania,9420122,6065444,64.4,5756498,61.1,308946,5.1
13248,August 1997,Rhode Island,794920,530252,66.7,503052,63.3,27200,5.1
13249,August 1997,South Carolina,2902973,1911076,65.8,1829413,63.0,81663,4.3
13250,August 1997,South Dakota,549173,394661,71.9,383211,69.8,11450,2.9
13251,August 1997,Tennessee,4227747,2791968,66.0,2643732,62.5,148236,5.3
13252,August 1997,Texas,14384324,9951222,69.2,9435322,65.6,515900,5.2
13253,August 1997,Utah,1496255,1073984,71.8,1040240,69.5,33744,3.1
13254,August 1997,Vermont,459242,329008,71.6,316487,68.9,12521,3.8
13255,August 1997,Virginia,5123744,3451739,67.4,3327926,65.0,123813,3.6
13256,August 1997,Washington,4283375,3000201,70.0,2857166,66.7,143035,4.8
13257,August 1997,West Virginia,1435637,795929,55.4,742862,51.7,53067,6.7
13258,August 1997,Wisconsin,3990905,2979907,74.7,2874850,72.0,105057,3.5
13259,August 1997,Wyoming,365976,253586,69.3,241807,66.1,11779,4.6
13260,September 1997,Alabama,3316594,2142854,64.6,2036969,61.4,105885,4.9
13261,September 1997,Alaska,424198,313749,74.0,291892,68.8,21857,7.0
13262,September 1997,Arizona,3607892,2317375,64.2,2216894,61.4,100481,4.3
13263,September 1997,Arkansas,1968295,1241126,63.1,1176057,59.8,65069,5.2
13264,September 1997,California,23918512,15873595,66.4,14895810,62.3,977785,6.2
13265,September 1997,Colorado,3057908,2241375,73.3,2167279,70.9,74096,3.3
13266,September 1997,Connecticut,2568066,1750008,68.1,1669258,65.0,80750,4.6
13267,September 1997,Delaware,575074,387294,67.3,372980,64.9,14314,3.7
13268,September 1997,District of Columbia,451001,282841,62.7,259439,57.5,23402,8.3
13269,September 1997,Florida,11874035,7414542,62.4,7072055,59.6,342487,4.6
13270,September 1997,Georgia,5756011,3984361,69.2,3811416,66.2,172945,4.3
13271,September 1997,Hawaii,891198,601364,67.5,564075,63.3,37289,6.2
13272,September 1997,Idaho,903012,635488,70.4,603105,66.8,32383,5.1
13273,September 1997,Illinois,9175149,6312571,68.8,6017720,65.6,294851,4.7
13274,September 1997,Indiana,4516767,3131239,69.3,3018252,66.8,112987,3.6
13275,September 1997,Iowa,2206513,1598100,72.4,1550350,70.3,47750,3.0
13276,September 1997,Kansas,1960099,1386841,70.8,1337022,68.2,49819,3.6
